SearchArraySize,SearchNumber,HtreeResultIndex,LSResultIndex,HtreeTime,LSTime1000,483,115,115,348,135
1000,598,76,76,212,116
1000,971,728,728,150,303
1000,233,-1,-1,319,610
1000,229,-1,-1,141,496
1000,644,-1,-1,231,386
1000,909,363,363,159,209
1000,839,787,787,84,323
1000,668,1,1,151,76
1000,948,475,475,329,536
1000,928,577,577,108,319
1000,558,0,0,159,81
1000,954,-1,-1,145,557
1000,332,772,772,203,345
1000,328,-1,-1,210,472
1000,34,897,897,257,594
1000,904,379,379,192,316
1000,595,-1,-1,186,706
1000,748,917,917,247,617
1000,421,37,37,105,73
1000,354,282,282,186,380
1000,953,89,89,133,171
1000,245,862,862,238,632
1000,214,521,521,198,416
1000,514,800,800,517,622
1000,626,-1,-1,273,596
1000,878,613,613,242,456
1000,60,812,812,220,624
1000,504,-1,-1,333,418
1000,558,0,0,161,79
1000,105,288,288,231,318
1000,404,256,256,141,199
1000,9,183,183,85,124
1000,436,-1,-1,412,514
1000,128,-1,-1,380,515
1000,659,702,702,304,446
1000,936,601,601,280,350
1000,203,139,139,152,123
1000,296,157,157,421,161
1000,815,236,236,335,216
1000,512,-1,-1,489,916
1000,77,925,925,201,455
1000,940,296,296,222,333
1000,702,-1,-1,379,445
1000,780,516,516,309,263
1000,12,467,467,645,212
1000,256,-1,-1,127,389
1000,228,328,328,126,231
1000,373,337,337,126,372
1000,402,142,142,141,207
1000,361,151,151,310,169
1000,239,275,275,125,277
1000,272,202,202,135,200
1000,526,-1,-1,269,598
1000,272,202,202,138,229
1000,155,892,892,448,558
1000,294,927,927,282,563
1000,189,50,50,201,124
1000,799,239,239,317,141
1000,307,222,222,1954,217
1000,681,179,179,140,229
1000,898,740,740,218,332
1000,238,806,806,149,320
1000,582,452,452,322,314
1000,156,174,174,129,279
1000,471,302,302,208,191
1000,738,-1,-1,276,395
1000,169,-1,-1,171,556
1000,920,463,463,144,279
1000,415,203,203,139,189
1000,203,139,139,167,184
1000,504,-1,-1,155,416
1000,751,922,922,306,365
1000,723,507,507,320,218
1000,196,755,755,188,298
1000,354,282,282,71,143
1000,804,720,720,83,296
1000,915,235,235,94,135
1000,742,4,4,141,49
1000,659,702,702,293,534
1000,318,-1,-1,265,717
1000,604,387,387,149,365
1000,476,159,159,206,181
1000,486,114,114,137,183
1000,724,599,599,201,433
1000,116,96,96,125,120
1000,573,944,944,245,583
1000,22,-1,-1,307,504
1000,434,124,124,132,123
1000,439,177,177,164,181
1000,699,692,692,403,420
1000,761,51,51,160,143
1000,145,550,550,162,343
1000,480,-1,-1,259,415
1000,379,693,693,350,291
1000,894,747,747,258,302
1000,579,252,252,77,141
1000,580,-1,-1,81,378
1000,55,-1,-1,187,379
1000,900,853,853,210,330
10000,448,-1,-1,309,4700
10000,4323,-1,-1,201,3953
10000,8886,4558,4558,107,1571
10000,1365,-1,-1,159,3363
10000,7286,-1,-1,171,3352
10000,6099,3957,3957,177,1399
10000,2212,19,19,150,92
10000,8773,-1,-1,455,4447
10000,4178,2313,2313,240,1048
10000,5865,4905,4905,207,2278
10000,5365,2156,2156,185,1088
10000,1440,-1,-1,407,7289
10000,786,4760,4760,179,1661
10000,1218,-1,-1,2259,5063
10000,4966,7487,7487,331,2708
10000,368,961,961,271,414
10000,5823,3161,3161,388,1134
10000,9704,7619,7619,254,3733
